code,hl,name
es-US,el,Ισπανικά (Ηνωμένες Πολιτείες)
et,el,Εσθονικά
eu,el,Βασκικά
fa,el,Περσικά
fi,el,Φινλανδικά
fil,el,Φιλιππινικά
fr-CA,el,Γαλλικά (Καναδάς)
fr,el,Γαλλικά
gl,el,Γαλικιανά
gu,el,Γκουτζαρατικά
hi,el,Χίντι
hr,el,Κροατικά
hu,el,Ουγγρικά
hy,el,Αρμενικά
id,el,Ινδονησιακά
is,el,Ισλανδικά
it,el,Ιταλικά
iw,el,Εβραϊκά
ja,el,Ιαπωνικά
ka,el,Γεωργιανά
kk,el,Καζακικά
km,el,Χμερ
kn,el,Κανάντα
ko,el,Κορεατικά
ky,el,Κιργιζικά
lo,el,Λαοτινά
lt,el,Λιθουανικά
lv,el,Λετονικά
mk,el,Σλαβομακεδονικά
ml,el,Μαλαγιαλαμικά
mn,el,Μογγολικά
mr,el,Μαραθικά
ms,el,Μαλαισιανά
my,el,Βιρμανικά
no,el,Νορβηγικά
ne,el,Νεπαλικά
nl,el,Ολλανδικά
or,el,Όντια
pa,el,Παντζαπικά
pl,el,Πολωνικά
pt,el,Πορτογαλικά
pt-PT,el,Πορτογαλικά (Πορτογαλία)
ro,el,Ρουμανικά
ru,el,Ρωσικά
si,el,Σινχαλεζικά
sk,el,Σλοβακικά
sl,el,Σλοβενικά
sq,el,Αλβανικά
sr-Latn,el,Σερβικά (Λατινικό)
sr,el,Σερβικά
sv,el,Σουηδικά
sw,el,Σουαχίλι
ta,el,Ταμιλικά
te,el,Τελούγκου
th,el,Ταϊλανδικά
tr,el,Τουρκικά
uk,el,Ουκρανικά
ur,el,Ούρντου
uz,el,Ουζμπεκικά
vi,el,Βιετναμικά
zh-CN,el,Κινεζικά (Κίνα)
zh-HK,el,Κινεζικά (Χονγκ Κονγκ)
zh-TW,el,Κινεζικά (Ταϊβάν)
zu,el,Ζουλού
af,en,Afrikaans
am,en,Amharic
ar,en,Arabic
as,en,Assamese
az,en,Azerbaijani
be,en,Belarusian
bg,en,Bulgarian
bn,en,Bangla
bs,en,Bosnian
ca,en,Catalan
cs,en,Czech
da,en,Danish
de,en,German
el,en,Greek
en-GB,en,English (United Kingdom)
en-IN,en,English (India)
en,en,English
es,en,Spanish
es-419,en,Spanish (Latin America)
es-US,en,Spanish (United States)
et,en,Estonian
eu,en,Basque
fa,en,Persian
fi,en,Finnish
fil,en,Filipino
fr-CA,en,French (Canada)
fr,en,French
gl,en,Galician
gu,en,Gujarati
hi,en,Hindi
hr,en,Croatian
hu,en,Hungarian
hy,en,Armenian
id,en,Indonesian
is,en,Icelandic
it,en,Italian
iw,en,Hebrew
ja,en,Japanese
ka,en,Georgian
kk,en,Kazakh
km,en,Khmer
kn,en,Kannada
ko,en,Korean
ky,en,Kyrgyz
lo,en,Lao
lt,en,Lithuanian
lv,en,Latvian
mk,en,Macedonian
ml,en,Malayalam
mn,en,Mongolian
mr,en,Marathi
ms,en,Malay
my,en,Burmese
no,en,Norwegian
ne,en,Nepali
nl,en,Dutch
or,en,Odia
pa,en,Punjabi
pl,en,Polish
pt,en,Portuguese
pt-PT,en,Portuguese (Portugal)
ro,en,Romanian
ru,en,Russian
si,en,Sinhala
sk,en,Slovak
sl,en,Slovenian
sq,en,Albanian
sr-Latn,en,Serbian (Latin)
sr,en,Serbian
sv,en,Swedish
sw,en,Swahili
ta,en,Tamil
te,en,Telugu
th,en,Thai
tr,en,Turkish
uk,en,Ukrainian
ur,en,Urdu
uz,en,Uzbek
vi,en,Vietnamese
zh-CN,en,Chinese (China)
zh-HK,en,Chinese (Hong Kong)
zh-TW,en,Chinese (Taiwan)
zu,en,Zulu
af,en-GB,Afrikaans
am,en-GB,Amharic
ar,en-GB,Arabic
as,en-GB,Assamese
az,en-GB,Azerbaijani
be,en-GB,Belarusian
bg,en-GB,Bulgarian
bn,en-GB,Bangla
bs,en-GB,Bosnian
ca,en-GB,Catalan
cs,en-GB,Czech
da,en-GB,Danish
de,en-GB,German
el,en-GB,Greek
en-GB,en-GB,English (United Kingdom)
en-IN,en-GB,English (India)
en,en-GB,English
es,en-GB,Spanish
es-419,en-GB,Spanish (Latin America)
es-US,en-GB,Spanish (United States)
et,en-GB,Estonian
eu,en-GB,Basque
fa,en-GB,Persian
fi,en-GB,Finnish
fil,en-GB,Filipino
fr-CA,en-GB,French (Canada)
fr,en-GB,French
gl,en-GB,Galician
gu,en-GB,Gujarati
hi,en-GB,Hindi
hr,en-GB,Croatian
hu,en-GB,Hungarian
hy,en-GB,Armenian
id,en-GB,Indonesian
is,en-GB,Icelandic
it,en-GB,Italian
iw,en-GB,Hebrew
ja,en-GB,Japanese
ka,en-GB,Georgian
kk,en-GB,Kazakh
km,en-GB,Khmer
kn,en-GB,Kannada
ko,en-GB,Korean
ky,en-GB,Kyrgyz
lo,en-GB,Lao
lt,en-GB,Lithuanian
lv,en-GB,Latvian
mk,en-GB,Macedonian
ml,en-GB,Malayalam
mn,en-GB,Mongolian
mr,en-GB,Marathi
ms,en-GB,Malay
my,en-GB,Burmese
no,en-GB,Norwegian
ne,en-GB,Nepali
nl,en-GB,Dutch
or,en-GB,Odia
pa,en-GB,Punjabi
pl,en-GB,Polish
pt,en-GB,Portuguese
pt-PT,en-GB,Portuguese (Portugal)
ro,en-GB,Romanian
ru,en-GB,Russian
si,en-GB,Sinhala
sk,en-GB,Slovak
sl,en-GB,Slovenian
sq,en-GB,Albanian
sr-Latn,en-GB,Serbian (Latin)
sr,en-GB,Serbian
sv,en-GB,Swedish
sw,en-GB,Swahili
ta,en-GB,Tamil
te,en-GB,Telugu
th,en-GB,Thai
tr,en-GB,Turkish
uk,en-GB,Ukrainian
ur,en-GB,Urdu
uz,en-GB,Uzbek
vi,en-GB,Vietnamese
zh-CN,en-GB,Chinese (China)
zh-HK,en-GB,Chinese (Hong Kong)
zh-TW,en-GB,Chinese (Taiwan)
zu,en-GB,Zulu
af,en-IN,Afrikaans
am,en-IN,Amharic
ar,en-IN,Arabic
as,en-IN,Assamese
az,en-IN,Azerbaijani
be,en-IN,Belarusian
bg,en-IN,Bulgarian
bn,en-IN,Bengali
bs,en-IN,Bosnian
ca,en-IN,Catalan
cs,en-IN,Czech
da,en-IN,Danish
de,en-IN,German
el,en-IN,Greek
en-GB,en-IN,English (United Kingdom)
en-IN,en-IN,English (India)
en,en-IN,English
es,en-IN,Spanish
es-419,en-IN,Spanish (Latin America)
es-US,en-IN,Spanish (United States)
et,en-IN,Estonian
eu,en-IN,Basque
fa,en-IN,Persian
fi,en-IN,Finnish
fil,en-IN,Filipino
fr-CA,en-IN,French (Canada)
fr,en-IN,French
gl,en-IN,Galician
gu,en-IN,Gujarati
hi,en-IN,Hindi
hr,en-IN,Croatian
hu,en-IN,Hungarian
hy,en-IN,Armenian
id,en-IN,Indonesian
is,en-IN,Icelandic
it,en-IN,Italian
iw,en-IN,Hebrew
ja,en-IN,Japanese
ka,en-IN,Georgian
kk,en-IN,Kazakh
km,en-IN,Khmer
kn,en-IN,Kannada
ko,en-IN,Korean
ky,en-IN,Kyrgyz
lo,en-IN,Lao
lt,en-IN,Lithuanian
lv,en-IN,Latvian
mk,en-IN,Macedonian
ml,en-IN,Malayalam
mn,en-IN,Mongolian
mr,en-IN,Marathi
ms,en-IN,Malay
my,en-IN,Burmese
no,en-IN,Norwegian
ne,en-IN,Nepali
nl,en-IN,Dutch
or,en-IN,Odia
pa,en-IN,Punjabi
pl,en-IN,Polish
pt,en-IN,Portuguese
pt-PT,en-IN,Portuguese (Portugal)
ro,en-IN,Romanian
ru,en-IN,Russian
si,en-IN,Sinhala
sk,en-IN,Slovak
sl,en-IN,Slovenian
sq,en-IN,Albanian
sr-Latn,en-IN,Serbian (Latin)
sr,en-IN,Serbian
sv,en-IN,Swedish
sw,en-IN,Swahili
ta,en-IN,Tamil
te,en-IN,Telugu
th,en-IN,Thai
tr,en-IN,Turkish
uk,en-IN,Ukrainian
ur,en-IN,Urdu
uz,en-IN,Uzbek
vi,en-IN,Vietnamese
zh-CN,en-IN,Chinese (China)
zh-HK,en-IN,Chinese (Hong Kong)
zh-TW,en-IN,Chinese (Taiwan)
zu,en-IN,Zulu
af,es,Afrikáans
am,es,Amárico
ar,es,Árabe
as,es,Asamés
az,es,Azerbaiyano
be,es,Bielorruso
bg,es,Búlgaro
bn,es,Bengalí
bs,es,Bosnio
ca,es,Catalán
cs,es,Checo
da,es,Danés
de,es,Alemán
el,es,Griego
en-GB,es,Inglés (Reino Unido)
en-IN,es,Inglés (India)
en,es,Inglés
es,es,Español
es-419,es,Español (Latinoamérica)
es-US,es,Español (Estados Unidos)
et,es,Estonio
eu,es,Euskera
fa,es,Persa
fi,es,Finés
fil,es,Filipino
fr-CA,es,Francés (Canadá)
fr,es,Francés
gl,es,Gallego
gu,es,Guyaratí
hi,es,Hindi
hr,es,Croata
hu,es,Húngaro
hy,es,Armenio
id,es,Indonesio
is,es,Islandés
it,es,Italiano
iw,es,Hebreo
ja,es,Japonés
ka,es,Georgiano
kk,es,Kazajo
km,es,Jemer
kn,es,Canarés
ko,es,Coreano
ky,es,Kirguís
lo,es,Lao
lt,es,Lituano
lv,es,Letón
mk,es,Macedonio
ml,es,Malayálam
mn,es,Mongol
mr,es,Maratí
ms,es,Malayo
my,es,Birmano
no,es,Noruego
ne,es,Nepalí
nl,es,Neerlandés
or,es,Oriya
pa,es,Punyabí
pl,es,Polaco
pt,es,Portugués
pt-PT,es,Portugués (Portugal)
ro,es,Rumano
ru,es,Ruso
si,es,Cingalés
sk,es,Eslovaco
sl,es,Esloveno
sq,es,Albanés
sr-Latn,es,Serbio (latino)
sr,es,Serbio
sv,es,Sueco
sw,es,Suajili
ta,es,Tamil
te,es,Telugu
th,es,Tailandés
tr,es,Turco
uk,es,Ucraniano
ur,es,Urdu
uz,es,Uzbeko
vi,es,Vietnamita
zh-CN,es,Chino (China)
zh-HK,es,Chino (Hong Kong)
zh-TW,es,Chino (Taiwán)
zu,es,Zulú
af,es-419,Afrikáans
am,es-419,Amárico
ar,es-419,Árabe
as,es-419,Asamés
az,es-419,Azerbaiyano
be,es-419,Bielorruso
bg,es-419,Búlgaro
bn,es-419,Bengalí
bs,es-419,Bosnio
ca,es-419,Catalán
cs,es-419,Checo
da,es-419,Danés
de,es-419,Alemán
el,es-419,Griego
en-GB,es-419,Inglés (Reino Unido)
en-IN,es-419,Inglés (India)
en,es-419,Inglés
es,es-419,Español
es-419,es-419,Español (Latinoamérica)
es-US,es-419,Español (Estados Unidos)
et,es-419,Estonio
eu,es-419,Vasco
fa,es-419,Persa
fi,es-419,Finés
fil,es-419,Filipino
fr-CA,es-419,Francés (Canadá)
fr,es-419,Francés
gl,es-419,Gallego
gu,es-419,Gujarati
hi,es-419,Hindi
hr,es-419,Croata
hu,es-419,Húngaro
hy,es-419,Armenio
id,es-419,Indonesio
is,es-419,Islandés
it,es-419,Italiano
iw,es-419,Hebreo
ja,es-419,Japonés
ka,es-419,Georgiano
kk,es-419,Kazajo
km,es-419,Jemer
kn,es-419,Canarés
ko,es-419,Coreano
ky,es-419,Kirguís
lo,es-419,Laosiano
lt,es-419,Lituano
lv,es-419,Letón
mk,es-419,Macedonio
ml,es-419,Malabar
mn,es-419,Mongol
mr,es-419,Maratí
ms,es-419,Malayo
my,es-419,Birmano
no,es-419,Noruego
ne,es-419,Nepalí
nl,es-419,Neerlandés
or,es-419,Oriya
pa,es-419,Panyabí
pl,es-419,Polaco
pt,es-419,Portugués
pt-PT,es-419,Portugués (Portugal)
ro,es-419,Rumano
ru,es-419,Ruso
si,es-419,Cingalés
sk,es-419,Eslovaco
sl,es-419,Esloveno
sq,es-419,Albanés
sr-Latn,es-419,Serbio (latín)
sr,es-419,Serbio
sv,es-419,Sueco
sw,es-419,Swahili
ta,es-419,Tamil
te,es-419,Telugu
th,es-419,Tailandés
tr,es-419,Turco
uk,es-419,Ucraniano
ur,es-419,Urdu
uz,es-419,Uzbeko
vi,es-419,Vietnamita
zh-CN,es-419,Chino (China)
zh-HK,es-419,Chino (Hong Kong)
zh-TW,es-419,Chino (Taiwán)
zu,es-419,Zulú
af,es-US,Afrikáans
am,es-US,Amárico
ar,es-US,Árabe
as,es-US,Asamés
az,es-US,Azerbaiyano
be,es-US,Bielorruso
bg,es-US,Búlgaro
bn,es-US,Bengalí
bs,es-US,Bosnio
ca,es-US,Catalán
cs,es-US,Checo
da,es-US,Danés
de,es-US,Alemán
el,es-US,Griego
en-GB,es-US,Inglés (Reino Unido)
en-IN,es-US,Inglés (India)
en,es-US,Inglés
es,es-US,Español
es-419,es-US,Español (Latinoamérica)
es-US,es-US,Español (Estados Unidos)
et,es-US,Estonio
eu,es-US,Euskera
fa,es-US,Persa
fi,es-US,Finés
fil,es-US,Filipino
fr-CA,es-US,Francés (Canadá)
fr,es-US,Francés
gl,es-US,Gallego
gu,es-US,Gurayatí
hi,es-US,Hindi
hr,es-US,Croata
hu,es-US,Húngaro
hy,es-US,Armenio
id,es-US,Indonesio
is,es-US,Islandés
it,es-US,Italiano
iw,es-US,Hebreo
ja,es-US,Japonés
ka,es-US,Georgiano
kk,es-US,Kazajo
km,es-US,Jemer
kn,es-US,Canarés
ko,es-US,Coreano
ky,es-US,Kirguís
lo,es-US,Lao
lt,es-US,Lituano
lv,es-US,Letón
mk,es-US,Macedonio
ml,es-US,Malabar
mn,es-US,Mongol
mr,es-US,Maratí
ms,es-US,Malayo
my,es-US,Birmano
no,es-US,Noruego
ne,es-US,Nepalí
nl,es-US,Neerlandés
or,es-US,Oriya
pa,es-US,Panyabí
pl,es-US,Polaco
pt,es-US,Portugués
pt-PT,es-US,Portugués (Portugal)
ro,es-US,Rumano
ru,es-US,Ruso
si,es-US,Cingalés
sk,es-US,Eslovaco
sl,es-US,Esloveno
sq,es-US,Albanés
sr-Latn,es-US,Serbio (latín)
sr,es-US,Serbio
sv,es-US,Sueco
sw,es-US,Swahili
ta,es-US,Tamil
te,es-US,Telugu
th,es-US,Tailandés
tr,es-US,Turco
uk,es-US,Ucraniano
ur,es-US,Urdu
uz,es-US,Uzbeko
vi,es-US,Vietnamita
zh-CN,es-US,Chino (China)
zh-HK,es-US,Chino (Hong Kong)
zh-TW,es-US,Chino (Taiwán)
zu,es-US,Zulú
af,et,afrikaani
am,et,amhara
ar,et,araabia
as,et,assami
az,et,aserbaidžaani
be,et,valgevene
bg,et,bulgaaria
bn,et,bengali
bs,et,bosnia
ca,et,katalaani
cs,et,tšehhi
da,et,taani
de,et,saksa
el,et,kreeka
en-GB,et,inglise (Ühendkuningriik)
en-IN,et,inglise (India)
en,et,inglise
es,et,hispaania
es-419,et,hispaania (Ladina-Ameerika)
es-US,et,hispaania (Ameerika Ühendriigid)
et,et,eesti
eu,et,baski
fa,et,pärsia
fi,et,soome
fil,et,filipiini
fr-CA,et,prantsuse (Kanada)
fr,et,prantsuse
gl,et,galeegi
gu,et,gudžarati
hi,et,hindi
hr,et,horvaadi
hu,et,ungari
hy,et,armeenia
id,et,indoneesia
is,et,islandi
it,et,itaalia
iw,et,heebrea
ja,et,jaapani
ka,et,gruusia
kk,et,kasahhi
km,et,khmeeri
kn,et,kannada
ko,et,korea
ky,et,kirgiisi
lo,et,lao
lt,et,leedu
lv,et,läti
mk,et,makedoonia
ml,et,malajalami
mn,et,mongoli
mr,et,marathi
ms,et,malai
my,et,birma
no,et,norra
ne,et,nepali
nl,et,hollandi
or,et,oria
pa,et,pandžabi
pl,et,poola
pt,et,portugali
pt-PT,et,portugali (Portugal)
ro,et,rumeenia
ru,et,vene
si,et,singali
sk,et,slovaki
sl,et,sloveeni
sq,et,albaania
sr-Latn,et,serbia (ladina)
sr,et,serbia
sv,et,rootsi
sw,et,suahiili
ta,et,tamili
te,et,telugu
th,et,tai
tr,et,türgi
uk,et,ukraina
ur,et,urdu
uz,et,usbeki
vi,et,vietnami
zh-CN,et,hiina (Hiina)
zh-HK,et,hiina (Hongkong)
zh-TW,et,hiina (Taiwan)
zu,et,suulu
af,eu,afrikaansa
am,eu,amharera
ar,eu,arabiera
as,eu,assamera
az,eu,azerbaijanera
be,eu,bielorrusiera
bg,eu,bulgariera
bn,eu,bengalera
bs,eu,bosniera
ca,eu,katalana
cs,eu,txekiera
da,eu,daniera
de,eu,alemana
el,eu,greziera
en-GB,eu,ingelesa (Erresuma Batua)
en-IN,eu,ingelesa (India)
en,eu,ingelesa
es,eu,gaztelania
es-419,eu,gaztelania (Latinoamerika)
es-US,eu,gaztelania (Ameriketako Estatu Batuak)
et,eu,estoniera
eu,eu,euskara
fa,eu,persiera
fi,eu,finlandiera
fil,eu,filipinera
fr-CA,eu,frantsesa (Kanada)
fr,eu,frantsesa
gl,eu,galiziera
gu,eu,gujaratera
hi,eu,hindia
hr,eu,kroaziera
hu,eu,hungariera
hy,eu,armeniera
id,eu,indonesiera
is,eu,islandiera
it,eu,italiera
iw,eu,hebreera
ja,eu,japoniera
ka,eu,georgiera
kk,eu,kazakhera
km,eu,khemerera
kn,eu,kannada
ko,eu,koreera
ky,eu,kirgizera
lo,eu,laosera
lt,eu,lituaniera
lv,eu,letoniera
mk,eu,mazedoniera
ml,eu,malabarera
mn,eu,mongoliera
mr,eu,marathera
ms,eu,malaysiera
my,eu,birmaniera
no,eu,norvegiera
ne,eu,nepalera
nl,eu,nederlandera
or,eu,oriya
pa,eu,punjabera
pl,eu,poloniera
pt,eu,portugesa
pt-PT,eu,portugesa (Portugal)
ro,eu,errumaniera
ru,eu,errusiera
si,eu,sinhala
sk,eu,eslovakiera
sl,eu,esloveniera
sq,eu,albaniera
sr-Latn,eu,serbiera (latinoa)
sr,eu,serbiera
sv,eu,suediera
sw,eu,swahilia
ta,eu,tamilera
te,eu,telugua
th,eu,thailandiera
tr,eu,turkiera
uk,eu,ukrainera
ur,eu,urdua
uz,eu,uzbekera
vi,eu,vietnamera
zh-CN,eu,txinera (Txina)
zh-HK,eu,txinera (Hong Kong)
zh-TW,eu,txinera (Taiwan)
zu,eu,zuluera
af,fa,آفریکانس
am,fa,امهری
ar,fa,عربی
as,fa,آسامی
az,fa,ترکی آذربایجانی
be,fa,بلاروسی
bg,fa,بلغاری
bn,fa,بنگالی
bs,fa,بوسنیایی
ca,fa,کاتالان
cs,fa,چکی
da,fa,دانمارکی
de,fa,آلمانی
el,fa,یونانی
en-GB,fa,انگلیسی (بریتانیا)
en-IN,fa,انگلیسی (هند)
en,fa,انگلیسی
es,fa,اسپانیایی
es-419,fa,اسپانیایی (امریکای لاتین)
es-US,fa,اسپانیایی (ایالات متحده)
et,fa,استونیایی
eu,fa,باسکی
fa,fa,فارسی
fi,fa,فنلاندی
fil,fa,فیلیپینی
fr-CA,fa,فرانسوی (کانادا)
fr,fa,فرانسوی
gl,fa,گالیسیایی
gu,fa,گجراتی
hi,fa,هندی
hr,fa,کروات
hu,fa,مجاری
hy,fa,ارمنی
id,fa,اندونزیایی
is,fa,ایسلندی
it,fa,ایتالیایی
iw,fa,عبری
ja,fa,ژاپنی
ka,fa,گرجی
kk,fa,قزاقی
km,fa,خمری
kn,fa,کانارا
ko,fa,کره‌ای
ky,fa,قرقیزی
lo,fa,لائوسی
lt,fa,لیتوانیایی
lv,fa,لتونیایی
mk,fa,مقدونی
ml,fa,مالایالامی
mn,fa,مغولی
mr,fa,مراتی
ms,fa,مالایی
my,fa,برمه‌ای
no,fa,نروژی
ne,fa,نپالی
nl,fa,هلندی
or,fa,اوریه‌ای
pa,fa,پنجابی
pl,fa,لهستانی
pt,fa,پرتغالی
pt-PT,fa,پرتغالی (پرتغال)
ro,fa,رومانیایی
ru,fa,روسی
si,fa,سینهالی
sk,fa,اسلواکی
sl,fa,اسلوونیایی
sq,fa,آلبانیایی
sr-Latn,fa,صربی (لاتین)
sr,fa,صربی
sv,fa,سوئدی
sw,fa,سواحیلی
ta,fa,تامیلی
te,fa,تلوگویی
th,fa,تایلندی
tr,fa,ترکی استانبولی
uk,fa,اوکراینی
ur,fa,اردو
uz,fa,ازبکی
vi,fa,ویتنامی
zh-CN,fa,چینی (چین)
zh-HK,fa,چینی (هنگ‌کنگ)
zh-TW,fa,چینی (تایوان)
zu,fa,زولویی
af,fi,Afrikaans
am,fi,Amhara
ar,fi,Arabia
as,fi,Assami
az,fi,Azeri
be,fi,Valkovenäjä
bg,fi,Bulgaria
bn,fi,Bengali
bs,fi,Bosnia
ca,fi,Katalaani
cs,fi,Tšekki
da,fi,Tanska
de,fi,Saksa
el,fi,Kreikka
en-GB,fi,Englanti (Iso-Britannia)
en-IN,fi,Englanti (Intia)
en,fi,Englanti
es,fi,Espanja
es-419,fi,Espanja (Latinalainen Amerikka)
es-US,fi,Espanja (Yhdysvallat)
et,fi,Viro
eu,fi,Baski
fa,fi,Persia
fi,fi,Suomi
fil,fi,Filipino
fr-CA,fi,Ranska (Kanada)
fr,fi,Ranska
gl,fi,Galicia
gu,fi,Gudžarati
hi,fi,Hindi
hr,fi,Kroatia
hu,fi,Unkari
hy,fi,Armenia
id,fi,Indonesia
is,fi,Islanti
it,fi,Italia
iw,fi,Heprea
ja,fi,Japani
ka,fi,Georgia
kk,fi,Kazakki
km,fi,Khmer
kn,fi,Kannada
ko,fi,Korea
ky,fi,Kirgiisi
lo,fi,Lao
lt,fi,Liettua
lv,fi,Latvia
mk,fi,Makedonia
ml,fi,Malajalam
mn,fi,Mongoli
mr,fi,Marathi
ms,fi,Malaiji
my,fi,Burma
no,fi,Norja
ne,fi,Nepali
nl,fi,Hollanti
or,fi,Orija
pa,fi,Pandžabi
pl,fi,Puola
pt,fi,Portugali
pt-PT,fi,Portugali (Portugali)
ro,fi,Romania
ru,fi,Venäjä
si,fi,Sinhala
sk,fi,Slovakki
sl,fi,Sloveeni
sq,fi,Albania
sr-Latn,fi,Serbia (latinalainen)
sr,fi,Serbia
sv,fi,Ruotsi
sw,fi,Swahili
ta,fi,Tamili
te,fi,Telugu
th,fi,Thai
tr,fi,Turkki
uk,fi,Ukraina
ur,fi,Urdu
uz,fi,Uzbekki
vi,fi,Vietnam
zh-CN,fi,Kiina (Kiina)
zh-HK,fi,Kiina (Hongkong)
zh-TW,fi,Kiina (Taiwan)
zu,fi,Zulu
af,fil,Afrikaans
am,fil,Amharic
ar,fil,Arabic
as,fil,Assamese
az,fil,Azerbaijani
be,fil,Belarusian
bg,fil,Bulgarian
bn,fil,Bangla
bs,fil,Bosnian
ca,fil,Catalan
cs,fil,Czech
da,fil,Danish
de,fil,German
el,fil,Greek
en-GB,fil,Ingles (United Kingdom)
en-IN,fil,Ingles (India)
en,fil,Ingles
es,fil,Spanish
es-419,fil,Spanish (Latin America)
es-US,fil,Spanish (Estados Unidos)
et,fil,Estonian
eu,fil,Basque
fa,fil,Persian
fi,fil,Finnish
fil,fil,Filipino
fr-CA,fil,French (Canada)
fr,fil,French
gl,fil,Galician
gu,fil,Gujarati
hi,fil,Hindi
hr,fil,Croatian
hu,fil,Hungarian
hy,fil,Armenian
id,fil,Indonesian
is,fil,Icelandic
it,fil,Italian
iw,fil,Hebrew
ja,fil,Japanese
ka,fil,Georgian
kk,fil,Kazakh
km,fil,Khmer
kn,fil,Kannada
ko,fil,Korean
ky,fil,Kirghiz
lo,fil,Lao
lt,fil,Lithuanian
lv,fil,Latvian
mk,fil,Macedonian
ml,fil,Malayalam
mn,fil,Mongolian
mr,fil,Marathi
ms,fil,Malay
my,fil,Burmese
no,fil,Norwegian
ne,fil,Nepali
nl,fil,Dutch
or,fil,Odia
pa,fil,Punjabi
pl,fil,Polish
pt,fil,Portuguese
pt-PT,fil,Portuguese (Portugal)
ro,fil,Romanian
ru,fil,Russian
si,fil,Sinhala
sk,fil,Slovak
sl,fil,Slovenian
sq,fil,Albanian
sr-Latn,fil,Serbian (Latin)
sr,fil,Serbian
sv,fil,Swedish
sw,fil,Swahili
ta,fil,Tamil
te,fil,Telugu
th,fil,Thai
tr,fil,Turkish
uk,fil,Ukranian
ur,fil,Urdu
uz,fil,Uzbek
vi,fil,Vietnamese
zh-CN,fil,Chinese (China)
zh-HK,fil,Chinese (Hong Kong)
zh-TW,fil,Chinese (Taiwan)
zu,fil,Zulu
af,fr,Afrikaans
am,fr,Amharique
ar,fr,Arabe
as,fr,Assamais
az,fr,Azerbaïdjanais
be,fr,Biélorusse
bg,fr,Bulgare
bn,fr,Bengali
bs,fr,Bosniaque
ca,fr,Catalan
cs,fr,Tchèque
da,fr,Danois
de,fr,Allemand
el,fr,Grec
en-GB,fr,Anglais (Royaume-Uni)
en-IN,fr,Anglais (Inde)
en,fr,Anglais
es,fr,Espagnol
es-419,fr,Espagnol (Amérique latine)
es-US,fr,Espagnol (États-Unis)
et,fr,Estonien
eu,fr,Basque
fa,fr,Persan
fi,fr,Finnois
fil,fr,Filipino
fr-CA,fr,Français (Canada)
fr,fr,Français
gl,fr,Galicien
gu,fr,Goudjarati
hi,fr,Hindi
hr,fr,Croate
hu,fr,Hongrois
hy,fr,Arménien
id,fr,Indonésien
is,fr,Islandais
it,fr,Italien
iw,fr,Hébreu
ja,fr,Japonais
ka,fr,Géorgien
kk,fr,Kazakh
km,fr,Khmer
kn,fr,Kannada
ko,fr,Coréen
ky,fr,Kirghize
lo,fr,Lao
lt,fr,Lituanien
lv,fr,Letton
mk,fr,Macédonien
ml,fr,Malayalam
mn,fr,Mongol
mr,fr,Marathi
ms,fr,Malais
my,fr,Birman
no,fr,Norvégien
ne,fr,Népalais
nl,fr,Néerlandais
or,fr,Odia
pa,fr,Pendjabi
pl,fr,Polonais
pt,fr,Portugais
pt-PT,fr,Portugais (Portugal)
ro,fr,Roumain
ru,fr,Russe
si,fr,Cingalais
sk,fr,Slovaque
sl,fr,Slovène
sq,fr,Albanais
sr-Latn,fr,Serbe (latin)
sr,fr,Serbe
sv,fr,Suédois
sw,fr,Swahili
ta,fr,Tamoul
te,fr,Télougou
th,fr,Thaï
tr,fr,Turc
uk,fr,Ukrainien
ur,fr,Ourdou
uz,fr,Ouzbek
vi,fr,Vietnamien
zh-CN,fr,Chinois (Chine)
zh-HK,fr,Chinois (Hong Kong)
zh-TW,fr,Chinois (Taïwan)
zu,fr,Zoulou
af,fr-CA,Afrikaans
am,fr-CA,Amharique
ar,fr-CA,Arabe
as,fr-CA,Assamais
az,fr-CA,Azerbaïdjanais
be,fr-CA,Biélorusse
bg,fr-CA,Bulgare
bn,fr-CA,Bengali
bs,fr-CA,Bosniaque
ca,fr-CA,Catalan
cs,fr-CA,Tchèque
da,fr-CA,Danois
de,fr-CA,Allemand
el,fr-CA,Grec
en-GB,fr-CA,Anglais (Royaume-Uni)
en-IN,fr-CA,Anglais (Inde)
en,fr-CA,Anglais
es,fr-CA,Espagnol
es-419,fr-CA,Espagnol (Amérique latine)
es-US,fr-CA,Espagnol (États-Unis)
et,fr-CA,Estonien
eu,fr-CA,Basque
fa,fr-CA,Persan
fi,fr-CA,Finnois
fil,fr-CA,Filipino
fr-CA,fr-CA,Français (Canada)
fr,fr-CA,Français
gl,fr-CA,Galicien
gu,fr-CA,Gujarati
hi,fr-CA,Hindi
hr,fr-CA,Croate
hu,fr-CA,Hongrois
hy,fr-CA,Arménien
id,fr-CA,Indonésien
is,fr-CA,Islandais
it,fr-CA,Italien
iw,fr-CA,Hébreu
ja,fr-CA,Japonais
ka,fr-CA,Géorgien
kk,fr-CA,Kazakh
km,fr-CA,Khmer
kn,fr-CA,Kannada
ko,fr-CA,Coréen
ky,fr-CA,Kirghize
lo,fr-CA,Lao
lt,fr-CA,Lituanien
lv,fr-CA,Letton
mk,fr-CA,Macédonien
ml,fr-CA,Malayalam
mn,fr-CA,Mongol
mr,fr-CA,Marathe
ms,fr-CA,Malais
my,fr-CA,Birman
no,fr-CA,Norvégien
